article_id,portal,tone,framing,balance,political_lean,dominant_actor
ART0001,Portal B,1,ekonomski,0,pro_vlast,actor_027
ART0002,Portal C,-2,odgovornost,0,pro_gradjanska_opcija,actor_017
ART0003,Portal C,-2,nacionalni,1,pro_hrvatska_opcija,actor_033
ART0004,Portal E,-1,proceduralni,0,neutralan,actor_027
ART0005,Portal B,1,odgovornost,0,pro_vlast,actor_054
ART0006,Portal B,1,odgovornost,0,pro_vlast,actor_054
ART0007,Portal E,0,ekonomski,0,pro_vlast,actor_055
ART0008,Portal D,0,nacionalni,2,neutralan,actor_031
ART0009,Portal B,-2,odgovornost,1,pro_opozicija,actor_043
ART0010,Portal B,0,nacionalni,1,pro_gradjanska_opcija,actor_017
ART0011,Portal A,-1,proceduralni,0,neutralan,actor_018
ART0012,Portal B,1,nacionalni,2,pro_bosnjacka_opcija,actor_063
ART0013,Portal A,1,ekonomski,0,neutralan,actor_018
ART0014,Portal A,-2,odgovornost,0,pro_opozicija,actor_043
ART0015,Portal B,0,proceduralni,1,neutralan,actor_027
ART0016,Portal E,0,konflikt,1,pro_gradjanska_opcija,actor_020
ART0017,Portal D,0,proceduralni,0,neutralan,actor_045
ART0018,Portal D,1,odgovornost,0,pro_srpska_opcija,actor_031
ART0019,Portal A,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0020,Portal A,-2,ekonomski,0,pro_opozicija,actor_053
ART0021,Portal E,-1,odgovornost,0,neutralan,actor_012
ART0022,Portal C,1,nacionalni,1,pro_hrvatska_opcija,actor_025
ART0023,Portal B,-1,neutralan,0,neutralan,actor_045
ART0024,Portal A,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0025,Portal A,0,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0026,Portal B,1,konflikt,0,pro_opozicija,actor_059
ART0027,Portal B,-1,proceduralni,1,pro_gradjanska_opcija,actor_017
ART0028,Portal D,1,konflikt,0,pro_srpska_opcija,actor_004
ART0029,Portal D,-1,ekonomski,1,neutralan,actor_053
ART0030,Portal A,0,ekonomski,1,pro_gradjanska_opcija,actor_043
ART0031,Portal D,1,proceduralni,0,pro_vlast,actor_064
ART0032,Portal B,-1,odgovornost,0,pro_opozicija,actor_033
ART0033,Portal B,1,konflikt,1,pro_vlast,actor_028
ART0034,Portal E,1,proceduralni,0,neutralan,actor_039
ART0035,Portal B,-1,proceduralni,1,neutralan,actor_057
ART0036,Portal C,-1,proceduralni,0,neutralan,actor_049
ART0037,Portal D,0,odgovornost,0,neutralan,actor_031
ART0038,Portal A,0,proceduralni,0,pro_vlast,actor_033
ART0039,Portal A,-2,odgovornost,0,pro_opozicija,actor_054
ART0040,Portal E,-1,odgovornost,0,pro_opozicija,actor_064
ART0041,Portal B,-1,nacionalni,0,pro_bosnjacka_opcija,actor_027
ART0042,Portal E,-1,konflikt,2,neutralan,actor_031
ART0043,Portal B,2,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0044,Portal D,1,nacionalni,0,pro_srpska_opcija,actor_009
ART0045,Portal D,1,odgovornost,0,pro_vlast,actor_050
ART0046,Portal C,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0047,Portal E,0,proceduralni,0,pro_bosnjacka_opcija,actor_030
ART0048,Portal C,0,odgovornost,0,pro_gradjanska_opcija,actor_055
ART0049,Portal A,-2,odgovornost,0,pro_gradjanska_opcija,actor_056
ART0050,Portal B,-2,proceduralni,0,pro_gradjanska_opcija,actor_064
ART0051,Portal E,1,odgovornost,0,pro_vlast,actor_050
ART0052,Portal A,1,konflikt,0,pro_vlast,actor_027
ART0053,Portal B,-1,konflikt,1,pro_gradjanska_opcija,actor_044
ART0054,Portal C,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0055,Portal E,-1,odgovornost,1,neutralan,actor_012
ART0056,Portal B,1,neutralan,0,pro_srpska_opcija,actor_064
ART0057,Portal E,-2,proceduralni,1,pro_gradjanska_opcija,actor_031
ART0058,Portal D,-1,konflikt,2,neutralan,actor_031
ART0059,Portal C,0,proceduralni,0,neutralan,actor_039
ART0060,Portal A,1,odgovornost,0,pro_bosnjacka_opcija,actor_063
ART0061,Portal C,1,proceduralni,0,pro_hrvatska_opcija,actor_025
ART0062,Portal D,-1,proceduralni,0,pro_gradjanska_opcija,actor_018
ART0063,Portal A,-2,odgovornost,0,pro_opozicija,actor_054
ART0064,Portal B,-1,proceduralni,1,pro_opozicija,actor_064
ART0065,Portal A,-2,moralni,1,pro_bosnjacka_opcija,actor_027
ART0066,Portal C,1,proceduralni,0,pro_hrvatska_opcija,actor_040
ART0067,Portal C,0,ekonomski,1,neutralan,actor_055
ART0068,Portal D,1,ekonomski,0,neutralan,actor_018
ART0069,Portal E,2,neutralan,0,pro_vlast,actor_054
ART0070,Portal E,-1,ekonomski,2,neutralan,actor_055
ART0071,Portal B,0,konflikt,0,pro_hrvatska_opcija,actor_017
ART0072,Portal E,2,ekonomski,0,pro_vlast,actor_053
ART0073,Portal A,1,odgovornost,0,pro_bosnjacka_opcija,actor_030
ART0074,Portal D,1,konflikt,1,neutralan,actor_045
ART0075,Portal D,1,nacionalni,0,pro_srpska_opcija,actor_031
ART0076,Portal E,1,proceduralni,0,pro_vlast,actor_054
ART0077,Portal A,-1,neutralan,0,pro_gradjanska_opcija,actor_027
ART0078,Portal D,1,konflikt,1,pro_opozicija,actor_030
ART0079,Portal B,0,proceduralni,0,neutralan,actor_027
ART0080,Portal C,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0081,Portal C,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0082,Portal D,-1,nacionalni,1,pro_hrvatska_opcija,actor_005
ART0083,Portal A,-2,odgovornost,0,pro_opozicija,actor_043
ART0084,Portal A,-1,nacionalni,0,pro_gradjanska_opcija,actor_018
ART0085,Portal E,-1,nacionalni,0,pro_bosnjacka_opcija,actor_017
ART0086,Portal E,1,ekonomski,0,neutralan,actor_045
ART0087,Portal D,1,nacionalni,0,pro_srpska_opcija,actor_004
ART0088,Portal E,0,proceduralni,0,neutralan,actor_049
ART0089,Portal B,-2,nacionalni,0,pro_bosnjacka_opcija,actor_009
ART0090,Portal B,-2,konflikt,0,pro_gradjanska_opcija,actor_017
ART0091,Portal B,-1,ekonomski,0,pro_opozicija,actor_053
ART0092,Portal C,0,proceduralni,0,neutralan,actor_033
ART0093,Portal B,-2,konflikt,0,pro_opozicija,actor_064
ART0094,Portal D,1,odgovornost,0,pro_opozicija,actor_036
ART0095,Portal E,-2,ekonomski,0,pro_gradjanska_opcija,actor_027
ART0096,Portal A,-2,konflikt,0,pro_opozicija,actor_054
ART0097,Portal A,-1,proceduralni,0,neutralan,actor_019
ART0098,Portal C,-1,proceduralni,1,neutralan,actor_027
ART0099,Portal B,-2,moralni,1,neutralan,actor_059
ART0100,Portal D,1,proceduralni,0,neutralan,actor_023
ART0101,Portal C,1,nacionalni,1,pro_hrvatska_opcija,actor_005
ART0102,Portal B,-2,proceduralni,0,pro_opozicija,actor_064
ART0103,Portal E,-1,proceduralni,2,neutralan,actor_002
ART0104,Portal A,1,konflikt,0,pro_srpska_opcija,actor_027
