article_id,tone,framing,balance,political_lean,dominant_actor
ART0001,1,ekonomski,0,pro_srpska_opcija,actor_027
ART0002,-1,odgovornost,0,pro_opozicija,actor_017
ART0003,-1,nacionalni,1,pro_hrvatska_opcija,actor_033
ART0004,0,proceduralni,0,neutralan,actor_027
ART0005,1,odgovornost,0,pro_vlast,actor_054
ART0006,1,nacionalni,0,pro_gradjanska_opcija,actor_054
ART0007,0,proceduralni,0,neutralan,actor_055
ART0008,1,nacionalni,1,pro_bosnjacka_opcija,actor_018
ART0009,-1,odgovornost,0,pro_srpska_opcija,actor_043
ART0010,0,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0011,0,proceduralni,0,neutralan,actor_018
ART0012,1,nacionalni,2,pro_bosnjacka_opcija,actor_063
ART0013,0,ekonomski,0,neutralan,actor_018
ART0014,-1,odgovornost,0,pro_opozicija,actor_043
ART0015,1,proceduralni,0,pro_srpska_opcija,actor_027
ART0016,0,konflikt,2,pro_gradjanska_opcija,actor_020
ART0017,0,proceduralni,0,neutralan,actor_045
ART0018,1,ekonomski,0,pro_vlast,actor_018
ART0019,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0020,1,odgovornost,0,pro_opozicija,actor_030
ART0021,0,proceduralni,0,neutralan,actor_055
ART0022,1,nacionalni,1,pro_hrvatska_opcija,actor_040
ART0023,0,proceduralni,0,neutralan,actor_045
ART0024,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0025,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0026,1,proceduralni,0,pro_opozicija,actor_059
ART0027,0,proceduralni,1,neutralan,actor_043
ART0028,1,nacionalni,0,pro_srpska_opcija,actor_004
ART0029,-1,ekonomski,2,neutralan,actor_043
ART0030,0,ekonomski,1,neutralan,actor_043
ART0031,0,proceduralni,0,neutralan,actor_064
ART0032,-1,nacionalni,0,pro_gradjanska_opcija,actor_033
ART0033,-1,konflikt,0,pro_vlast,actor_063
ART0034,0,proceduralni,0,neutralan,actor_039
ART0035,0,proceduralni,0,neutralan,actor_055
ART0036,1,proceduralni,0,neutralan,actor_049
ART0037,1,odgovornost,1,pro_vlast,actor_064
ART0038,0,proceduralni,0,neutralan,actor_033
ART0039,-2,moralni,0,pro_opozicija,actor_054
ART0040,1,konflikt,0,pro_opozicija,actor_064
ART0041,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0042,0,konflikt,2,neutralan,actor_004
ART0043,1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0044,1,nacionalni,0,pro_srpska_opcija,actor_057
ART0045,1,moralni,1,pro_vlast,actor_043
ART0046,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0047,0,proceduralni,0,neutralan,actor_030
ART0048,1,proceduralni,0,pro_gradjanska_opcija,actor_055
ART0049,-1,nacionalni,0,pro_gradjanska_opcija,actor_017
ART0050,0,proceduralni,0,neutralan,actor_049
ART0051,1,proceduralni,0,pro_vlast,actor_050
ART0052,1,nacionalni,1,pro_srpska_opcija,actor_027
ART0053,0,konflikt,1,pro_gradjanska_opcija,actor_044
ART0054,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0055,-1,ekonomski,0,neutralan,actor_012
ART0056,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0057,-1,proceduralni,1,pro_gradjanska_opcija,actor_004
ART0058,0,konflikt,2,neutralan,actor_045
ART0059,1,proceduralni,0,neutralan,actor_017
ART0060,1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0061,1,nacionalni,0,neutralan,actor_025
ART0062,0,proceduralni,0,neutralan,actor_018
ART0063,-1,moralni,0,pro_opozicija,actor_054
ART0064,0,proceduralni,1,neutralan,actor_033
ART0065,-1,proceduralni,0,neutralan,actor_027
ART0066,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0067,0,ekonomski,0,neutralan,actor_031
ART0068,1,proceduralni,0,neutralan,actor_018
ART0069,1,konflikt,0,pro_vlast,actor_054
ART0070,0,odgovornost,2,neutralan,actor_055
ART0071,0,proceduralni,2,neutralan,actor_017
ART0072,1,ekonomski,0,pro_vlast,actor_043
ART0073,1,nacionalni,0,pro_bosnjacka_opcija,actor_030
ART0074,-1,moralni,0,neutralan,actor_045
ART0075,2,nacionalni,0,pro_srpska_opcija,actor_031
ART0076,1,konflikt,0,pro_gradjanska_opcija,actor_054
ART0077,-1,nacionalni,0,pro_srpska_opcija,actor_027
ART0078,1,konflikt,0,pro_opozicija,actor_030
ART0079,0,proceduralni,2,neutralan,actor_012
ART0080,1,nacionalni,0,pro_hrvatska_opcija,actor_025
ART0081,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0082,0,nacionalni,2,pro_hrvatska_opcija,actor_005
ART0083,-1,odgovornost,0,pro_opozicija,actor_043
ART0084,-1,nacionalni,1,pro_bosnjacka_opcija,actor_018
ART0085,1,konflikt,0,pro_bosnjacka_opcija,actor_017
ART0086,1,konflikt,0,pro_srpska_opcija,actor_045
ART0087,1,nacionalni,0,pro_srpska_opcija,actor_004
ART0088,0,proceduralni,0,neutralan,actor_049
ART0089,-2,nacionalni,0,pro_gradjanska_opcija,actor_009
ART0090,-1,konflikt,0,pro_opozicija,actor_017
ART0091,-1,odgovornost,0,pro_opozicija,actor_043
ART0092,0,proceduralni,0,neutralan,actor_033
ART0093,0,proceduralni,0,neutralan,actor_064
ART0094,1,proceduralni,0,pro_opozicija,actor_036
ART0095,0,proceduralni,0,pro_gradjanska_opcija,actor_055
ART0096,1,konflikt,0,pro_opozicija,actor_054
ART0097,0,proceduralni,0,neutralan,actor_019
ART0098,0,proceduralni,1,neutralan,actor_027
ART0099,-1,moralni,0,nejasno,actor_059
ART0100,0,proceduralni,0,neutralan,actor_023
ART0101,1,nacionalni,2,pro_hrvatska_opcija,actor_005
ART0102,-1,proceduralni,0,neutralan,actor_027
ART0103,0,proceduralni,2,neutralan,actor_055
ART0104,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0105,1,proceduralni,0,pro_gradjanska_opcija,actor_015
ART0106,1,ekonomski,0,neutralan,actor_018
ART0107,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0108,1,konflikt,1,nejasno,actor_059
ART0109,0,konflikt,2,neutralan,actor_052
ART0110,1,nacionalni,0,pro_bosnjacka_opcija,actor_054
ART0111,0,proceduralni,2,neutralan,actor_031
ART0112,1,nacionalni,0,pro_srpska_opcija,actor_033
ART0113,0,konflikt,2,neutralan,actor_063
ART0114,-1,odgovornost,0,pro_opozicija,actor_043
ART0115,1,nacionalni,0,pro_hrvatska_opcija,actor_046
ART0116,1,odgovornost,0,pro_gradjanska_opcija,actor_055
ART0117,0,konflikt,0,neutralan,actor_045
ART0118,1,konflikt,0,pro_bosnjacka_opcija,actor_030
ART0119,0,proceduralni,1,neutralan,actor_049
ART0120,1,odgovornost,0,pro_opozicija,actor_017
ART0121,1,konflikt,0,pro_srpska_opcija,actor_027
ART0122,-1,proceduralni,1,neutralan,actor_064
ART0123,0,proceduralni,0,neutralan,actor_033
ART0124,-1,konflikt,1,pro_opozicija,actor_027
ART0125,0,proceduralni,0,neutralan,actor_019
ART0126,1,konflikt,0,pro_gradjanska_opcija,actor_059
ART0127,1,konflikt,1,pro_opozicija,actor_030
ART0128,0,proceduralni,0,neutralan,actor_033
ART0129,0,odgovornost,0,neutralan,actor_017
ART0130,1,ekonomski,0,neutralan,actor_037
ART0131,0,proceduralni,0,neutralan,actor_049
ART0132,0,proceduralni,0,neutralan,actor_055
ART0133,0,proceduralni,0,neutralan,actor_004
ART0134,-1,odgovornost,0,pro_gradjanska_opcija,actor_012
ART0135,1,nacionalni,1,pro_srpska_opcija,actor_027
ART0136,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0137,1,moralni,0,pro_vlast,actor_043
ART0138,-1,proceduralni,0,pro_gradjanska_opcija,actor_057
ART0139,0,proceduralni,0,neutralan,actor_018
ART0140,0,proceduralni,1,neutralan,actor_020
ART0141,0,proceduralni,1,neutralan,actor_055
ART0142,0,proceduralni,0,neutralan,actor_019
ART0143,1,proceduralni,0,pro_gradjanska_opcija,actor_020
ART0144,0,proceduralni,0,neutralan,actor_036
ART0145,0,proceduralni,0,neutralan,actor_055
ART0146,0,proceduralni,0,neutralan,actor_043
ART0147,0,proceduralni,0,neutralan,actor_045
ART0148,0,proceduralni,0,pro_gradjanska_opcija,actor_055
ART0149,0,konflikt,2,neutralan,actor_052
ART0150,0,proceduralni,0,neutralan,actor_027
ART0151,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0152,1,proceduralni,0,neutralan,actor_055
ART0153,0,konflikt,0,neutralan,actor_027
ART0154,0,proceduralni,2,neutralan,actor_049
ART0155,0,proceduralni,0,neutralan,actor_023
ART0156,0,proceduralni,0,neutralan,actor_049
ART0157,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0158,0,konflikt,2,neutralan,actor_023
ART0159,1,moralni,0,neutralan,actor_043
ART0160,-1,konflikt,1,nejasno,actor_032
ART0161,-1,ekonomski,0,pro_opozicija,actor_043
ART0162,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0163,0,nacionalni,0,pro_bosnjacka_opcija,actor_059
ART0164,0,proceduralni,0,neutralan,actor_020
ART0165,0,proceduralni,2,neutralan,actor_049
ART0166,1,proceduralni,0,pro_opozicija,actor_059
ART0167,0,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0168,-2,odgovornost,0,pro_opozicija,actor_037
ART0169,0,proceduralni,2,neutralan,actor_024
ART0170,0,konflikt,2,neutralan,actor_063
ART0171,0,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0172,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0173,-1,nacionalni,1,pro_gradjanska_opcija,actor_017
ART0174,-1,ekonomski,1,pro_opozicija,actor_027
ART0175,1,proceduralni,0,pro_gradjanska_opcija,actor_054
ART0176,-2,nacionalni,0,pro_hrvatska_opcija,actor_044
ART0177,1,konflikt,1,nejasno,actor_059
ART0178,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0179,1,nacionalni,0,pro_srpska_opcija,actor_031
ART0180,-1,nacionalni,0,pro_gradjanska_opcija,actor_055
ART0181,-1,nacionalni,1,pro_vlast,actor_030
ART0182,0,ekonomski,0,neutralan,actor_025
ART0183,1,moralni,0,neutralan,actor_004
ART0184,0,proceduralni,0,neutralan,actor_055
ART0185,0,proceduralni,0,neutralan,actor_055
ART0186,0,odgovornost,0,neutralan,actor_043
ART0187,1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0188,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0189,0,proceduralni,2,neutralan,actor_055
ART0190,1,konflikt,0,pro_opozicija,actor_030
ART0191,0,ekonomski,2,neutralan,actor_055
ART0192,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0193,1,nacionalni,1,pro_hrvatska_opcija,actor_025
ART0194,-1,konflikt,1,pro_gradjanska_opcija,actor_057
ART0195,1,nacionalni,0,pro_hrvatska_opcija,actor_005
ART0196,0,proceduralni,0,neutralan,actor_049
ART0197,-2,odgovornost,0,pro_opozicija,actor_054
ART0198,1,nacionalni,0,pro_gradjanska_opcija,actor_054
ART0199,0,konflikt,0,neutralan,actor_027
ART0200,0,konflikt,2,neutralan,actor_020
ART0201,0,proceduralni,0,neutralan,actor_027
ART0202,1,proceduralni,0,neutralan,actor_055
ART0203,1,proceduralni,0,pro_gradjanska_opcija,actor_055
ART0204,1,konflikt,0,nejasno,actor_062
ART0205,1,proceduralni,0,pro_gradjanska_opcija,actor_020
ART0206,1,proceduralni,0,pro_vlast,actor_064
ART0207,-1,konflikt,0,neutralan,actor_023
ART0208,-1,nacionalni,0,pro_bosnjacka_opcija,actor_031
ART0209,-1,nacionalni,0,pro_hrvatska_opcija,actor_020
ART0210,0,proceduralni,0,neutralan,actor_049
ART0211,1,nacionalni,0,pro_srpska_opcija,actor_004
ART0212,0,proceduralni,2,neutralan,actor_031
ART0213,0,proceduralni,0,neutralan,actor_055
ART0214,1,proceduralni,0,pro_gradjanska_opcija,actor_054
ART0215,0,proceduralni,0,nejasno,actor_055
ART0216,-2,moralni,0,pro_opozicija,actor_054
ART0217,-1,nacionalni,0,neutralan,actor_027
ART0218,0,konflikt,2,neutralan,actor_017
ART0219,-1,odgovornost,0,pro_gradjanska_opcija,actor_012
ART0220,-1,proceduralni,1,neutralan,actor_027
