article_id,tone,framing,balance,political_lean,dominant_actor
ART0001,1,ekonomski,0,pro_srpska_opcija,actor_064
ART0003,-1,nacionalni,1,pro_opozicija,actor_064
ART0004,1,proceduralni,0,pro_srpska_opcija,actor_027
ART0005,1,odgovornost,0,pro_gradjanska_opcija,actor_054
ART0006,1,nacionalni,0,pro_bosnjacka_opcija,actor_054
ART0007,0,proceduralni,0,neutralan,actor_055
ART0009,-1,odgovornost,0,pro_opozicija,actor_043
ART0010,0,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0011,0,proceduralni,0,neutralan,actor_012
ART0012,-1,nacionalni,1,pro_bosnjacka_opcija,actor_063
ART0013,0,ekonomski,0,neutralan,actor_031
ART0014,-1,odgovornost,0,pro_opozicija,actor_043
ART0015,0,proceduralni,0,neutralan,actor_064
ART0016,-1,konflikt,1,pro_gradjanska_opcija,actor_020
ART0017,0,proceduralni,0,neutralan,actor_045
ART0018,1,ekonomski,0,pro_vlast,actor_064
ART0019,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0020,-1,odgovornost,0,pro_opozicija,actor_030
ART0021,0,proceduralni,0,neutralan,actor_020
ART0022,1,nacionalni,1,pro_hrvatska_opcija,actor_005
ART0023,0,proceduralni,0,nejasno,actor_045
ART0024,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0025,0,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0026,-1,proceduralni,0,pro_opozicija,actor_043
ART0027,0,proceduralni,1,pro_opozicija,actor_017
ART0028,1,nacionalni,0,pro_srpska_opcija,actor_004
ART0029,0,ekonomski,2,nejasno,actor_012
ART0030,0,ekonomski,1,nejasno,actor_012
ART0031,0,proceduralni,0,neutralan,actor_064
ART0032,0,nacionalni,0,pro_srpska_opcija,actor_064
ART0033,-1,nacionalni,0,pro_opozicija,actor_043
ART0034,0,proceduralni,0,neutralan,actor_055
ART0035,0,proceduralni,0,neutralan,actor_055
ART0036,0,proceduralni,0,nejasno,actor_049
ART0037,0,proceduralni,1,nejasno,actor_012
ART0038,0,ekonomski,0,neutralan,actor_033
ART0039,-2,odgovornost,0,pro_opozicija,actor_054
ART0040,-1,konflikt,0,pro_opozicija,actor_023
ART0041,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0042,-1,nacionalni,2,pro_opozicija,actor_036
ART0043,-1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0044,1,nacionalni,1,pro_srpska_opcija,actor_027
ART0045,1,odgovornost,0,pro_gradjanska_opcija,actor_043
ART0046,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0047,1,proceduralni,0,pro_bosnjacka_opcija,actor_030
ART0048,1,nacionalni,0,pro_gradjanska_opcija,actor_020
ART0049,1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0050,0,proceduralni,0,neutralan,actor_049
ART0051,-1,proceduralni,0,pro_opozicija,actor_043
ART0052,1,nacionalni,1,pro_srpska_opcija,actor_027
ART0053,-1,nacionalni,1,pro_opozicija,actor_044
ART0054,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0055,-1,odgovornost,1,pro_opozicija,actor_012
ART0056,0,nacionalni,0,nejasno,actor_064
ART0057,0,proceduralni,1,nejasno,actor_004
ART0059,0,proceduralni,0,pro_hrvatska_opcija,actor_017
ART0060,-1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0061,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0063,-1,odgovornost,0,pro_opozicija,actor_054
ART0064,-1,proceduralni,1,pro_opozicija,actor_027
ART0065,-1,moralni,0,pro_opozicija,actor_027
ART0066,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0067,0,ekonomski,0,nejasno,actor_031
ART0068,0,proceduralni,0,nejasno,actor_018
ART0069,1,proceduralni,0,pro_gradjanska_opcija,actor_054
ART0070,-1,odgovornost,1,pro_opozicija,actor_064
ART0071,0,proceduralni,0,pro_hrvatska_opcija,actor_017
ART0072,0,proceduralni,0,neutralan,actor_043
ART0073,1,nacionalni,0,pro_bosnjacka_opcija,actor_030
ART0074,-1,konflikt,0,pro_opozicija,actor_045
ART0075,2,nacionalni,0,pro_srpska_opcija,actor_064
ART0076,1,proceduralni,0,pro_gradjanska_opcija,actor_054
ART0077,-1,nacionalni,0,pro_srpska_opcija,actor_027
ART0078,1,odgovornost,0,pro_bosnjacka_opcija,actor_030
ART0079,0,proceduralni,0,nejasno,actor_012
ART0080,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0081,-1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0083,-1,odgovornost,0,pro_opozicija,actor_043
ART0084,0,proceduralni,0,nejasno,actor_018
ART0085,-1,konflikt,0,pro_bosnjacka_opcija,actor_017
ART0086,1,odgovornost,0,pro_srpska_opcija,actor_045
ART0087,-1,proceduralni,0,pro_srpska_opcija,actor_004
ART0088,0,proceduralni,2,nejasno,actor_020
ART0089,-1,nacionalni,0,pro_opozicija,actor_027
ART0090,-1,konflikt,0,pro_opozicija,actor_017
ART0091,-1,odgovornost,0,pro_opozicija,actor_063
ART0092,0,ekonomski,0,neutralan,actor_031
ART0093,-1,konflikt,0,pro_opozicija,actor_064
ART0094,0,proceduralni,0,nejasno,actor_036
ART0095,-1,odgovornost,0,pro_gradjanska_opcija,actor_027
ART0096,-2,konflikt,0,pro_opozicija,actor_054
ART0097,0,proceduralni,0,neutralan,actor_019
ART0099,-1,moralni,0,pro_opozicija,actor_059
ART0100,0,proceduralni,0,neutralan,actor_023
ART0101,1,nacionalni,1,pro_hrvatska_opcija,actor_005
ART0102,-1,proceduralni,0,pro_opozicija,actor_064
ART0103,0,konflikt,2,nejasno,actor_023
ART0104,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0105,1,proceduralni,0,pro_gradjanska_opcija,actor_015
ART0106,0,ekonomski,0,neutralan,actor_018
ART0107,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0108,0,konflikt,0,pro_opozicija,actor_059
ART0109,-2,konflikt,1,pro_opozicija,actor_027
ART0110,1,nacionalni,0,pro_bosnjacka_opcija,actor_054
