article_id,tone,framing,balance,political_lean,dominant_actor
ART0001,1,ekonomski,0,pro_srpska_opcija,actor_027
ART0002,0,ekonomski,0,nejasno,actor_043
ART0003,-1,nacionalni,2,pro_srpska_opcija,actor_064
ART0004,1,proceduralni,0,neutralan,actor_027
ART0005,1,ekonomski,0,pro_opozicija,actor_054
ART0006,1,nacionalni,0,pro_srpska_opcija,actor_037
ART0007,0,proceduralni,0,neutralan,actor_012
ART0008,-1,nacionalni,0,pro_srpska_opcija,actor_063
ART0009,-1,nacionalni,0,pro_srpska_opcija,actor_043
ART0010,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0011,0,proceduralni,0,neutralan,actor_033
ART0012,-1,nacionalni,2,pro_srpska_opcija,actor_054
ART0013,0,ekonomski,0,neutralan,actor_031
ART0014,-1,odgovornost,0,pro_opozicija,actor_043
ART0015,1,proceduralni,0,nejasno,actor_027
ART0016,0,proceduralni,0,neutralan,actor_020
ART0017,-1,odgovornost,0,neutralan,actor_045
ART0018,1,ekonomski,0,pro_srpska_opcija,actor_027
ART0019,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0020,-1,ekonomski,0,pro_opozicija,actor_030
ART0021,0,proceduralni,0,neutralan,actor_012
ART0022,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0023,-1,proceduralni,0,neutralan,actor_045
ART0024,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0025,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0026,-1,proceduralni,0,nejasno,actor_043
ART0027,0,proceduralni,0,neutralan,actor_043
ART0028,1,nacionalni,0,pro_srpska_opcija,actor_004
ART0029,-1,ekonomski,0,neutralan,actor_043
ART0030,-1,ekonomski,0,neutralan,actor_043
ART0031,1,proceduralni,0,neutralan,actor_064
ART0032,1,nacionalni,0,pro_srpska_opcija,actor_033
ART0033,-1,nacionalni,0,pro_opozicija,actor_030
ART0034,0,proceduralni,0,neutralan,actor_049
ART0035,0,proceduralni,0,neutralan,actor_012
ART0036,1,proceduralni,0,neutralan,actor_049
ART0037,1,proceduralni,2,neutralan,actor_044
ART0038,0,proceduralni,0,neutralan,actor_033
ART0039,-1,ekonomski,0,neutralan,actor_054
ART0040,-1,konflikt,0,pro_srpska_opcija,actor_044
ART0041,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0042,-1,nacionalni,2,pro_srpska_opcija,actor_004
ART0043,-1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0044,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0045,1,moralni,0,neutralan,actor_050
ART0046,1,nacionalni,0,pro_hrvatska_opcija,actor_040
