suitability_score,selected,manual_reference
3,True,False
4,True,False
3,True,False
4,True,False
4,True,False
4,True,False
0,False,False
2,False,False
0,False,False
1,False,False
3,True,False
2,False,False
2,False,False
3,True,False
4,True,True
2,False,False
0,False,False
1,False,False
0,False,False
4,True,False
4,True,False
3,True,False
4,True,False
3,True,False
3,True,False
4,True,True
2,False,False
0,False,False
4,True,False
3,True,False
0,False,False
0,False,False
1,False,False
3,True,False
0,False,False
4,True,False
0,False,False
4,True,False
4,True,False
4,True,False
0,False,False
4,True,False
4,True,False
4,True,False
4,True,False
4,True,False
3,True,False
4,True,False
4,True,False
2,False,False
3,True,False
1,False,False
4,True,False
4,True,False
3,True,False
0,False,False
2,False,False
3,True,False
3,True,False
0,False,False
4,True,False
3,True,False
3,True,False
4,True,False
3,True,False
4,True,False
2,False,False
1,False,False
2,False,False
3,True,False
2,False,False
0,False,False
3,True,False
1,False,False
4,True,False
3,True,False
4,True,False
3,True,False
3,True,False
3,True,False
2,False,False
4,True,False
2,False,False
4,True,False
4,True,False
0,False,False
3,True,False
4,True,False
3,True,False
0,False,False
4,True,False
2,False,False
4,True,False
2,False,False
4,True,False
0,False,False
4,True,False
4,True,False
4,True,True
4,True,False
4,True,False
4,True,False
2,False,False
4,True,False
4,True,True
4,True,False
4,True,False
4,True,False
4,True,False
4,True,False
4,True,False
4,True,False
2,False,False
4,True,True
3,True,False
3,True,True
3,True,False
4,True,True
4,True,False
4,True,False
4,True,False
3,True,False
2,False,False
3,True,False
0,False,False
2,False,False
4,True,True
4,True,True
3,True,False
2,False,False
2,False,False
2,False,False
1,False,False
1,False,False
2,False,False
3,True,False
3,True,False
4,True,False
4,True,True
4,True,False
3,True,False
3,True,True
4,True,True
3,True,True
4,True,False
3,True,False
4,True,False
1,False,False
3,True,False
2,False,False
0,False,False
4,True,False
4,True,False
4,True,True
4,True,False
4,True,True
4,True,True
4,True,False
4,True,True
4,True,True
4,True,True
4,True,False
4,True,False
4,True,True
4,True,False
3,True,False
3,True,True
4,True,False
4,True,False
4,True,False
3,True,False
4,True,True
4,True,False
4,True,False
4,True,True
4,True,False
3,True,False
4,True,False
4,True,False
4,True,False
4,True,False
3,True,False
4,True,True
4,True,False
4,True,True
3,True,False
3,True,True
3,True,False
4,True,False
0,False,False
0,False,False
0,False,False
0,False,False
3,True,False
3,True,False
4,True,False
4,True,False
0,False,False
4,True,False
4,True,True
1,False,False
4,True,False
4,True,False
3,True,False
0,False,False
4,True,False
2,False,False
3,True,False
3,True,False
4,True,False
3,True,False
0,False,False
0,False,False
3,True,False
2,False,False
4,True,False
4,True,False
4,True,False
2,False,False
3,True,False
4,True,False
3,True,False
4,True,False
4,True,False
3,True,False
4,True,False
3,True,False
3,True,False
4,True,False
4,True,False
1,False,False
2,False,False
4,True,False
3,True,False
2,False,False
4,True,False
2,False,False
0,False,False
1,False,False
0,False,False
2,False,False
1,False,False
2,False,False
2,False,False
1,False,False
2,False,False
3,True,False
3,True,False
3,True,False
3,True,True
1,False,False
4,True,False
3,True,False
2,False,False
2,False,False
0,False,False
1,False,False
0,False,False
0,False,False
3,True,False
4,True,False
1,False,False
1,False,False
3,True,False
3,True,False
0,False,False
2,False,True
4,True,False
4,True,True
4,True,False
4,True,True
3,True,False
3,True,False
4,True,False
4,True,False
0,False,False
1,False,False
2,False,False
1,False,False
2,False,False
0,False,False
4,True,False
0,False,False
4,True,False
4,True,False
3,True,False
4,True,False
3,True,False
4,True,False
3,True,False
3,True,False
3,True,False
4,True,False
4,True,False
4,True,False
4,True,False
4,True,False
3,True,False
4,True,False
4,True,False
4,True,True
3,True,False
2,False,False
0,False,False
1,False,False
0,False,False
4,True,False
1,False,False
4,True,False
2,False,False
0,False,False
4,True,False
0,False,False
0,False,False
4,True,False
4,True,False
4,True,False
0,False,False
1,False,False
3,True,False
4,True,True
4,True,False
4,True,False
0,False,False
1,False,False
1,False,False
4,True,False
1,False,False
3,True,False
4,True,False
4,True,False
1,False,False
3,True,False
4,True,False
4,True,False
4,True,True
1,False,False
4,True,False
2,False,False
3,True,False
1,False,False
2,False,False
0,False,False
4,True,False
4,True,False
4,True,False
4,True,False
3,True,False
1,False,False
4,True,False
2,False,False
3,True,False
1,False,False
3,True,False
2,False,False
1,False,False
0,False,False
0,False,False
4,True,False
0,False,False
1,False,False
1,False,False
0,False,False
2,False,False
4,True,False
0,False,False
2,False,False
2,False,False
4,True,True
4,True,True
4,True,False
4,True,False
3,True,False
3,True,False
4,True,True
4,True,True
4,True,False
3,True,False
4,True,False
4,True,False
2,False,False
2,False,False
3,True,False
4,True,False
3,True,False
2,False,False
3,True,False
4,True,False
4,True,False
1,False,False
4,True,False
0,False,False
3,True,False
4,True,False
1,False,False
4,True,False
3,True,False
2,False,False
4,True,False
0,False,False
4,True,False
0,False,False
2,False,False
4,True,False
3,True,False
4,True,False
0,False,False
0,False,False
0,False,False
4,True,False
0,False,False
0,False,False
3,True,False
0,False,False
4,True,False
3,True,False
3,True,False
3,True,False
4,True,True
4,True,True
4,True,True
2,False,False
1,False,False
3,True,False
3,True,False
3,True,False
1,False,False
2,False,False
2,False,False
0,False,False
2,False,False
4,True,True
2,False,False
3,True,False
3,True,False
0,False,False
2,False,False
4,True,True
2,False,False
2,False,False
2,False,False
3,True,False
0,False,False
2,False,False
3,True,False
0,False,False
0,False,False
0,False,False
2,False,False
2,False,False
3,True,False
0,False,False
2,False,False
3,True,False
0,False,False
4,True,True
2,False,False
4,True,False
2,False,False
3,True,False
4,True,False
4,True,False
4,True,False
4,True,False
3,True,False
4,True,False
4,True,True
4,True,False
4,True,False
4,True,False
1,False,False
4,True,False
0,False,False
3,True,False
0,False,False
0,False,False
4,True,False
4,True,False
4,True,True
3,True,False
2,False,False
3,True,False
3,True,False
1,False,False
2,False,False
0,False,False
1,False,False
4,True,False
3,True,False
4,True,False
4,True,False
4,True,True
4,True,False
4,True,False
4,True,False
4,True,True
4,True,False
0,False,False
2,False,False
3,True,False
4,True,False
2,False,False
4,True,False
4,True,False
2,False,False
1,False,False
1,False,False
1,False,False
2,False,False
1,False,False
4,True,False
4,True,True
4,True,False
3,True,False
0,False,False
1,False,False
3,True,False
2,False,False
4,True,True
3,True,False
4,True,False
4,True,True
3,True,False
0,False,False
3,True,False
1,False,False
1,False,False
2,False,False
0,False,False
0,False,False
0,False,False
3,True,False
2,False,False
1,False,False
4,True,False
4,True,False
3,True,False
3,True,False
4,True,True
0,False,False
2,False,False
1,False,False
0,False,False
0,False,False
1,False,False
2,False,False
0,False,False
2,False,False
2,False,False
2,False,False
3,True,False
4,True,False
2,False,False
3,True,False
3,True,False
0,False,False
2,False,False
3,True,False
3,True,False
1,False,False
2,False,False
4,True,False
3,True,False
2,False,False
4,True,False
3,True,False
3,True,False
2,False,False
4,True,False
2,False,False
4,True,False
1,False,False
1,False,False
2,False,False
4,True,False
0,False,False
4,True,False
4,True,False
0,False,False
4,True,False
4,True,False
4,True,True
4,True,False
0,False,False
4,True,False
1,False,False
4,True,False
1,False,False
2,False,False
2,False,False
0,False,False
2,False,False
