event_id,article_id,portal
E01,ART0327,Portal A
E01,ART0064,Portal B
E01,ART0391,Portal C
E01,ART0250,Portal E
E02,ART0150,Portal A
E02,ART0201,Portal B
E02,ART0260,Portal C
E02,ART0363,Portal D
E02,ART0004,Portal E
E03,ART0454,Portal B
E03,ART0203,Portal C
E03,ART0213,Portal D
E04,ART0038,Portal A
E04,ART0092,Portal C
E04,ART0325,Portal D
E04,ART0128,Portal E
E05,ART0030,Portal A
E05,ART0318,Portal B
E05,ART0456,Portal D
E06,ART0122,Portal A
E06,ART0141,Portal B
E06,ART0191,Portal D
E06,ART0007,Portal E
E07,ART0338,Portal A
E07,ART0105,Portal B
E07,ART0314,Portal C
E07,ART0425,Portal E
E08,ART0127,Portal A
E08,ART0275,Portal B
E08,ART0277,Portal C
E08,ART0078,Portal D
E08,ART0047,Portal E
E09,ART0161,Portal A
E09,ART0286,Portal B
E09,ART0428,Portal E
E10,ART0329,Portal A
E10,ART0225,Portal B
E10,ART0168,Portal E
E11,ART0401,Portal A
E11,ART0109,Portal B
E11,ART0281,Portal C
E11,ART0282,Portal D
E11,ART0380,Portal E
E12,ART0073,Portal A
E12,ART0043,Portal B
E12,ART0437,Portal C
E12,ART0263,Portal E
E13,ART0267,Portal A
E13,ART0278,Portal B
E13,ART0098,Portal C
E14,ART0023,Portal B
E14,ART0017,Portal D
E14,ART0147,Portal E
E15,ART0054,Portal C
E15,ART0044,Portal D
E15,ART0417,Portal E
E16,ART0097,Portal A
E16,ART0421,Portal B
E16,ART0125,Portal C
E16,ART0309,Portal D
E16,ART0273,Portal E
E17,ART0415,Portal C
E17,ART0167,Portal D
E17,ART0247,Portal E
E18,ART0117,Portal A
E18,ART0367,Portal B
E18,ART0365,Portal C
E18,ART0074,Portal D
E19,ART0242,Portal B
E19,ART0132,Portal C
E19,ART0271,Portal D
E19,ART0021,Portal E
